Timestamp,Gender,Age,Head_controller_grade,Head_controller_frustration,Head_controller_satisfaction,Gesture_controller_grade,Gesture_controller_frustration,Gesture_controller_satisfaction,Voice_controller_grade,Voice_controller_frustration,Voice_controller_satisfaction
19.1.2024. 11:11:50,Muški,23,4,4,4,3,3,3,3,3,3
21.1.2024. 00:31:29,Muški,29,4,1,4,4,2,4,3,1,3
21.1.2024. 00:36:53,Ženski,24,4,3,4,4,3,4,1,5,1
22.1.2024. 13:56:19,Muški,21,5,1,5,4,2,5,1,5,1
22.1.2024. 15:48:41,Muški,22,4,3,3,5,3,4,1,5,1
22.1.2024. 16:50:32,Ženski,24,4,1,5,3,3,3,1,5,1
23.1.2024. 11:15:10,Ženski,22,5,4,4,5,2,5,4,2,5
23.1.2024. 12:13:49,Muški,22,5,2,5,4,2,3,2,5,2
23.1.2024. 19:26:27,Ženski,14,3,2,3,4,1,3,1,1,1
24.1.2024. 09:27:04,Muški,28,4,2,3,3,2,2,4,1,4
24.1.2024. 12:23:43,Ženski,25,5,1,4,4,2,4,5,5,5
24.1.2024. 12:47:43,Muški,23,5,1,5,3,4,2,1,1,1
24.1.2024. 15:31:43,Muški,23,5,1,4,4,3,2,1,1,1
24.1.2024. 17:13:03,Ženski,16,5,2,4,5,1,4,1,1,1
24.1.2024. 18:16:55,Ženski,24,4,3,4,3,4,2,3,3,3
24.1.2024. 21:15:17,Muški,27,5,2,3,2,2,1,1,1,1
25.1.2024. 11:50:47,Muški,24,5,2,5,3,4,3,1,5,1
26.1.2024. 10:34:02,Ženski,26,4,2,4,1,5,1,1,5,1
26.1.2024. 21:09:03,Ženski,24,5,1,5,2,5,2,1,5,1
